Team,Starting Elo
Spain,2157
Argentina,2115
France,2063
England,2024
Brazil,1991
Portugal,1989
Colombia,1982
Netherlands,1948
Ecuador,1948
Germany,1932
Norway,1914
Croatia,1912
Turkey,1911
Japan,1906
Belgium,1894
Uruguay,1892
Switzerland,1891
Mexico,1875
Senegal,1860
Paraguay,1834
Austria,1830
Morocco,1827
Canada,1788
Scotland,1782
Australia,1777
Algeria,1772
Iran,1772
South Korea,1758
Czechia,1740
Panama,1730
United States,1726
Uzbekistan,1714
Sweden,1712
Egypt,1696
Ivory Coast,1695
Jordan,1680
DR Congo,1652
Tunisia,1628
Iraq,1607
Bosnia and Herzegovina,1595
Cape Verde,1578
Saudi Arabia,1576
New Zealand,1562
Haiti,1548
South Africa,1517
Ghana,1510
Curacao,1434
Qatar,1421
